a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label,AsRRN Prediction,SFRN Prediction
R_xm82LFs2y0hIHTj_q2_a,"Yes, this is not the only way to determine a ""good ear for music"", so therefore you can set up a hypothesis and test specific to this to obtain statistics that could apply inference to a greater or entire population of music listeners.",q2_a,1.0,1.0,1.0,1.0,4,1,0,4,0,1,1,0
R_vVR0LmpnPTIdilH_q3_a,"The aim of this research would be to identify whether or not they will reject the order of 150 display screens. To do so, they look each of teh 150 diplsay screens and determines whether they are good or bad.  / In this situation, 150 display screens represent the whole population of one order of display screens. The sample size seems to be large enough to then generalize to more display screens and maybe at the end to the supplier itself (based on all their products previously provided).  / Moverover, 5% of the display screens considered as bad is enough to representent the sample and the quality of it.  / therefore the conditions seem to be met, and the statistical inference can be used.",q3_a,1.0,1.0,,1.0,3,1,0,3,0,1,0,0
R_ukoLhTpZAz7aeIx_q2_b,"I would want to test the person more than once on their ability of having a good ear for music. There is such thing as lucky guesses, and so if she were to be tested once, and get most of them correct, there is nothing to compare these results to and therefore causes the inability to judge her actualy accuracy. If she were tested multiple times, each note at random for each test, there is more of a liklihood of her having a good ear for music. There needs to be a basis to work with in order to give her the best results.",q2_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_3suHzxtuLtxpssL_q4_a,"If there is a large enough sample size, this method could be practical. Even though it is not any guarantee, there are certainly people who know how to manipulate they're environment than others.",q4_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_3siDtFsiVKwCcmJ_q3_a,"Yes, statistical inference should be used here because the trained engineer will need to determine if the proportion of bad screens exceeds the proportion needed for the entire shipment to be sent back.",q3_a,1.0,,1.0,1.0,3,1,0,3,0,1,0,0
R_3s7z2L1LPSAentK_q4_b,"You would use the before stated ways with the null and alternative hypothesis, assumptions, mean, standard deviation, test statistic, p value, then you come up with your decision whether you fail to reject or reject the null hypothesis based on the alpha value.",q4_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_3rTm2aVio7pMNBU_q2_b,"I wouldn't use this method, but the only way I think this method could POSSIBLY be used was if a student was able to recognize a very high percentage of the notes that were played.",q2_b,1.0,1.0,,1.0,3,1,0,3,0,1,1,0
R_3KAqMZMVdmLMd6q_q3_a,"Yes, because if the the number of bad screens is higher than 5% then you can infer whether or not you want to reject the entire order of display screens.",q3_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_2f8Pg8FnM3c25x6_q3_b,"Determine the profit for the 150 display screens. / Figure out what percent needs to broken in order to not turn a profit.  / If over that determined percent, get a refund.",q3_b,1.0,,1.0,1.0,3,1,0,3,0,1,0,0
R_2f6ST76DzsSNu3m_q3_a,"Yes, statistical inference should be used to determine whether the company should accept or reject the bulk order of display screens using the data gathered by the trained engineer. If 5% of the 150 screens are bad, the engineer can reject the order. So that means 7.5 out of 150 screens would lead to a rejection of the order. This is a probability that could be used for statistical inference.",q3_a,1.0,,1.0,1.0,3,1,0,3,0,1,0,0
R_27BtfyWgcvxUuIX_q4_a,Statistical inference can be used. the brothers made sure that no other factors would influence the this obervational study.,q4_a,,1.0,1.0,1.0,3,1,0,3,0,1,1,0
R_26gpxE1m7xovdaA_q3_b,Collect 10 TVs from the bulk order and inspect them to determine if the display screens are bad then use a 1 proportion z interval to make a 95% confidence interval for this sample. If the confidence interval is below 5% than accept the order. If the confidence interval is above or includes 5% than they should reject the order.,q3_b,1.0,,1.0,1.0,3,1,0,3,0,1,0,0
R_22Pq2yLMva5B2tB_q2_b,"You would need to survey more than one class in more than one school to really get a good random sample.  Then you would need to designate a numerical scoring system to judge how good of an ear the students have.  After that you can apply the information to a curve and choose your method of testing the hypothesis (Confidence Interval, Critical Value, P-Value).",q2_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_1q27vIX0tbDTOor_q4_b,"I plug all the data into my calculator find the standard deviation, mean, mode and data to figure out who the better fisherman is based on the lengths of the fish called.",q4_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_1NlgiAIqCAd9XE6_q2_b,The percentage of notes that are identified.,q2_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_1LUv3BdI1qgoknk_q2_b,I would decide whether or not the student has a good ear for music based on if she was able to identify the correct notes being played.,q2_b,,1.0,1.0,1.0,3,1,0,3,0,1,1,0
R_1IT144gTqeDU5gk_q2_a,"Statistical inference should not be used to determine whether Carla has a ""good ear for music"" because that statement is ambiguous. Different people could interpret that statement many different ways and would therefore skew the accuracy of this. In order to use statistical inference one would have to clearly define what a ""good ear for music"" was.",q2_a,1.0,,1.0,1.0,3,1,0,3,0,1,0,0
R_1g60BgF2aUfqfTB_q2_b,I would decide a student had a good ear for music if they could identify 6/7 of the notes.,q2_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_11bVEqqnpNibyGu_q2_b,"Through random, non scalar orders of notes over multiple trials in a quiz/test-like setting and grade the student for accuracy",q2_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,0
R_ukoLhTpZAz7aeIx_q2_a,"Because there is only one set answer and set of data for this problem, statisitical inference may not be appropriate to use. The person being tested can either get the note right or wrong, and there is no population to determine and compare to. The way to go about this is using the random association with the note playing as the problem suggests. If Carla gets more than half wrong, she most likely does not have a ""good ear for music,"" but if Carla were to guess more than half correctly and then given the test a second time and guessed less than half, would she then be considered not having a good ear for music, or does this type of test have too much bias and support for their answer?",q2_a,1.0,,0.0,1.0,3,2,1,2,0,1,0,0
R_ddrhTTch6jHAifD_q2_a,"You should not use statistic inference in this scenario because the frequency of correct responses will be different for each person based on genetic predisposition to pitch sensitivity. The definition of ""good ear for music"" is not clearly defined enough to show if her natural ability makes her more suseptible to accel in this area of testing. There is not a control to measure against in this experiment. A better alternative would be to measure Carla's progress over time in doing this experiment or compare her results with that of other students.",q2_a,1.0,,1.0,0.0,3,2,1,2,0,1,0,0
R_3siDtFsiVKwCcmJ_q3_b,"If the proportion of bad screens exceeded the proportion needed for the shipment to be sent back, then the shipment should be rejected and sent back in bulk.",q3_b,1.0,,2.0,1.0,3,2,1,2,0,1,0,0
R_3siDtFsiVKwCcmJ_q2_a,"We should not use statistical inference to determine whether Carla has a ""good ear for music"" because having a ""good ear for music"" is grey-area and can be one's own opinion.",q2_a,1.0,,1.0,0.0,3,2,1,2,0,1,0,0
R_3rUmCW2tg1QCFnk_q4_a,We don't have to use statistical inference because we know the value of the population. They are measuring every fish so we know the actual average.,q4_a,1.0,,0.0,1.0,3,2,1,2,0,1,0,0
R_3Jr8e0DIeLtMX2A_q4_a,Statistical inference should not be used to determine whether Mark or Dan is a better Walleye fisherman because the difference in fish length caught is due to other factors which most likely caused them to catch more or less large fish. It may be better for the fishermen to take a test comparing fishing knowledge rather than using statistical inference.,q4_a,0.0,,1.0,1.0,3,2,1,2,0,1,0,0
R_2xwNWSQ3eJMsqcw_q2_a,"I don't believe that statistical inference would be a good way of determining if Carla has a good ear for music. You could give the number of notes she got correct, but you would have no parameter to compare her with. You could, however, make a histogram of her classmates and Carla's scores.",q2_a,1.0,,0.0,1.0,3,2,1,2,0,1,1,0
R_2Pe9I3Rxhndc7pQ_q3_a,This is already a big enough study that one may not have to use statistical inference.,q3_a,1.0,,0.0,1.0,3,2,1,2,0,1,0,0
R_2Pe9I3Rxhndc7pQ_q2_a,I think that it should be so it would not just be based off of one survey and one could see the whole range of data and compare.,q2_a,1.0,,2.0,1.0,3,2,1,2,0,1,1,0
R_22YwZfKEz4dkvsz_q3_a,yes this is a prime example of why statistical inference can be used to help solve problems. you will be able to determine the exact percentage of tv screens that do not work.,q3_a,1.0,,1.0,0.0,3,2,1,2,0,1,0,0
R_1OjgYWnvatXH0dX_q2_b,A good way to determine if the student has a good ear or not would be with the use of a significance level.,q2_b,1.0,,0.0,1.0,3,2,1,2,0,1,0,0
R_1g60BgF2aUfqfTB_q2_a,"You should not use statistical inference in this scenario. The only way it could be used is if ""a good ear for music"" was defined as a number. For example, one could define it as being able to recognize 6/7 musical notes when played at random.",q2_a,2.0,,1.0,1.0,3,2,1,2,0,1,0,0
R_10SrCe5A99aS8Io_q3_b,What you would do is basically take a sample from the whole bulk and find out which ones are damaged or not. Then from there you compare the numbers and if shows that out of the sample shows about half or more damaged then return the whole bulk.,q3_b,1.0,,0.0,1.0,3,2,1,2,0,1,0,0
R_Xkecg9Jtm2t4bvz_q3_a,"Yes, you can draw a conclusion based on the number that are not working or not.",q3_a,,,1.0,1.0,2,1,0,2,0,1,0,0
