a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label,AsRRN Prediction,SFRN Prediction
R_2CKzQuDyhpMFVvh_q3_b,"If more than 5% are bad, then they should be rejected.",q3_b,2.0,2.0,2.0,2.0,4,1,0,4,0,2,2,2
R_2CKzQuDyhpMFVvh_q2_a,"you could use statistical inference by seeing how many notes she can answer correctly and the more she gets then the better ""ear for music"" she has.",q2_a,2.0,2.0,2.0,2.0,4,1,0,4,0,2,2,2
R_OHDpXXS48HwjgsN_q4_a,Yes. Because the average size of the walleyes will need to be calculated.,q4_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_OHDpXXS48HwjgsN_q3_b,If 8 or more of the screens are bad I would return the order.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_OHDpXXS48HwjgsN_q2_a,"Yes. If you could quantify a certain percentage of correct responses that correlate to someone with a ""good ear for music,"" then Carla's responses could be recorded and her amount of correct responses translated into a percentage to determine whether or not she meets the criteria for having a ""good ear for music.""",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_bp83rI9vQaU0DRz_q2_a,"it can be used to see how many times she gets it right and take the average. once the average of her right answers are discovered. researchers can compare here average to other people and based on her performance, we can conclude weather she has a good ear for music.",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_6RktEQMK2li2kVP_q3_b,"The company should count how many screens are bad based of the data from the engineer. They should then calculate how many screens make up 5% of 150 by multiplying 150 by .05. If the number of broken screens is greater than the value calculated, they should reject the order.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_54rp3Ziy4Qot1xX_q3_b,5% of the displays is 7.5 displays. so in case 8 are broken the order can be rejected. In case 7 are broken the order should be kept,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3rSsapLCzLuUW08_q3_b,They would reject the order of display screens if 5% of the 150 piece order were bad. Meaning 7.5 display screens.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3q9SH8FjGNHU4r2_q3_b,"If 8 or more of the screens are faulty, the electronics company should reject the order of display screens because if more than 5% of the screens (7.5 mathematically rounded up to 8) are faulty then there's no opportunity cost in returning them for a refund and getting a new batch that may have less faulty screens.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3PHP2nBKALpbmX7_q4_b,"The mean fish lengths and variance of fish lengths for each fisherman's catch can be calculated.  A two sample t-test can then be used to determine whether there exists a significant difference in mean lengths between the two samples.  If there exists a significant difference in mean lengths, the better fisherman can be determined.",q4_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3PHP2nBKALpbmX7_q3_b,"The engineer will determine that 5% of 150 monitors is about 7.5 monitors.  Thus, if 8 monitors are defective, the engineer will reject the order.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3PHP2nBKALpbmX7_q3_a,"No, statistical inference does not need to be used in this scenario.  The engineer only needs to determine whether 8 screens are broken to reject the order.",q3_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3LbaqxVILA3dyOi_q3_b,"If 5% of the screens are bad, send the order back.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
