id,essay_set,essay_weight,essay_score,Usage
1673,1,1,1,PublicTest
1674,1,1,1,PublicTest
1675,1,1,3,PublicTest
1676,1,1,0,PublicTest
1677,1,1,0,PublicTest
1678,1,1,2,PublicTest
1679,1,1,0,PublicTest
1680,1,1,1,PublicTest
1681,1,1,3,PublicTest
1682,1,1,2,PublicTest
1683,1,1,1,PublicTest
1684,1,1,1,PublicTest
1685,1,1,1,PublicTest
1686,1,1,3,PublicTest
1687,1,1,1,PublicTest
1688,1,1,2,PublicTest
1689,1,1,3,PublicTest
1690,1,1,0,PublicTest
1691,1,1,2,PublicTest
1692,1,1,2,PublicTest
1693,1,1,0,PublicTest
1694,1,1,0,PublicTest
1695,1,1,0,PublicTest
1696,1,1,1,PublicTest
1697,1,1,1,PublicTest
1698,1,1,1,PublicTest
1699,1,1,1,PublicTest
1700,1,1,2,PublicTest
1701,1,1,3,PublicTest
1702,1,1,3,PublicTest
1703,1,1,2,PublicTest
1704,1,1,3,PublicTest
1705,1,1,2,PublicTest
1706,1,1,2,PublicTest
1707,1,1,1,PublicTest
1708,1,1,2,PublicTest
1709,1,1,2,PublicTest
1710,1,1,2,PublicTest
1711,1,1,1,PublicTest
1712,1,1,2,PublicTest
1713,1,1,1,PublicTest
1714,1,1,1,PublicTest
1715,1,1,2,PublicTest
1716,1,1,0,PublicTest
1717,1,1,1,PublicTest
1718,1,1,1,PublicTest
1719,1,1,0,PublicTest
1720,1,1,1,PublicTest
1721,1,1,2,PublicTest
1722,1,1,1,PublicTest
1723,1,1,3,PublicTest
1724,1,1,1,PublicTest
1725,1,1,1,PublicTest
1726,1,1,1,PublicTest
1727,1,1,2,PublicTest
1728,1,1,1,PublicTest
1729,1,1,1,PublicTest
1730,1,1,1,PublicTest
1731,1,1,3,PublicTest
1732,1,1,3,PublicTest
1733,1,1,0,PublicTest
1734,1,1,3,PublicTest
1735,1,1,0,PublicTest
1736,1,1,3,PublicTest
1737,1,1,3,PublicTest
1738,1,1,1,PublicTest
1739,1,1,0,PublicTest
1740,1,1,3,PublicTest
1741,1,1,2,PublicTest
1742,1,1,0,PublicTest
1743,1,1,2,PublicTest
1744,1,1,0,PublicTest
1745,1,1,2,PublicTest
1746,1,1,1,PublicTest
1747,1,1,1,PublicTest
1748,1,1,2,PublicTest
1749,1,1,3,PublicTest
1750,1,1,0,PublicTest
1751,1,1,1,PublicTest
1752,1,1,2,PublicTest
1753,1,1,0,PublicTest
1754,1,1,2,PublicTest
1755,1,1,3,PublicTest
1756,1,1,3,PublicTest
1757,1,1,3,PublicTest
1758,1,1,2,PublicTest
1759,1,1,1,PublicTest
1760,1,1,3,PublicTest
1761,1,1,2,PublicTest
1762,1,1,0,PublicTest
1763,1,1,2,PublicTest
1764,1,1,1,PublicTest
1765,1,1,1,PublicTest
1766,1,1,1,PublicTest
1767,1,1,2,PublicTest
1768,1,1,0,PublicTest
1769,1,1,2,PublicTest
1770,1,1,3,PublicTest
1771,1,1,2,PublicTest
1772,1,1,3,PublicTest
1773,1,1,3,PublicTest
1774,1,1,0,PublicTest
1775,1,1,2,PublicTest
1776,1,1,2,PublicTest
1777,1,1,1,PublicTest
1778,1,1,3,PublicTest
1779,1,1,1,PublicTest
1780,1,1,1,PublicTest
1781,1,1,2,PublicTest
1782,1,1,0,PublicTest
1783,1,1,2,PublicTest
1784,1,1,3,PublicTest
1785,1,1,1,PublicTest
1786,1,1,1,PublicTest
1787,1,1,1,PublicTest
1788,1,1,0,PublicTest
1789,1,1,3,PublicTest
1790,1,1,1,PublicTest
1791,1,1,3,PublicTest
1792,1,1,2,PublicTest
1793,1,1,0,PublicTest
1794,1,1,1,PublicTest
1795,1,1,2,PublicTest
1796,1,1,1,PublicTest
1797,1,1,0,PublicTest
1798,1,1,2,PublicTest
1799,1,1,1,PublicTest
1800,1,1,0,PublicTest
1801,1,1,1,PublicTest
1802,1,1,1,PublicTest
1803,1,1,2,PublicTest
1804,1,1,3,PublicTest
1805,1,1,1,PublicTest
1806,1,1,1,PublicTest
1807,1,1,3,PublicTest
1808,1,1,2,PublicTest
1809,1,1,1,PublicTest
1810,1,1,0,PublicTest
1811,1,1,1,PublicTest
1812,1,1,0,PublicTest
1813,1,1,3,PublicTest
1814,1,1,3,PublicTest
1815,1,1,0,PublicTest
1816,1,1,0,PublicTest
1817,1,1,2,PublicTest
1818,1,1,2,PublicTest
1819,1,1,1,PublicTest
1820,1,1,0,PublicTest
1821,1,1,1,PublicTest
1822,1,1,2,PublicTest
1823,1,1,3,PublicTest
1824,1,1,1,PublicTest
1825,1,1,1,PublicTest
1826,1,1,0,PublicTest
